title,url,timestamp,source,category,compound,positive,negative,neutral,keyword_sentiment,classification
"Corporate actions this week: LIC, Hero Moto and 23 other stocks to set record dates for dividends",https://economictimes.indiatimes.com/markets/stocks/news/corporate-actions-this-week-lic-hero-moto-23-more-stocks-to-have-record-dates-for-dividend-do-you-own-any/articleshow/122794271.cms,2025-07-20 17:58,Economic Times,Markets,0.2787,0.184,0.0,0.816,0.0,Bullish
"IPO Tracker: 9 issues, 3 listings set to hit the market this week",https://economictimes.indiatimes.com/markets/stocks/news/ipo-spotlight-12-ipos-this-week-including-3-listings-and-9-subscription-opens/slideshow/122794280.cms,2025-07-20 17:58,Economic Times,Markets,0.0,0.0,0.0,1.0,0.0,Neutral
"7 Penny stocks soar up to 700% in a year; 4 doubled investor wealth, do you own any?",https://economictimes.indiatimes.com/markets/stocks/news/7-penny-stocks-soar-up-to-700-in-a-year-4-doubled-investor-wealth-do-you-own-any/slideshow/122793983.cms,2025-07-20 17:58,Economic Times,Markets,0.2747277777777778,0.158,0.0,0.842,0.05555555555555555,Bullish
"Indian Hotels posts steady Q1, but high growth may be tough to sustain",https://www.livemint.com/market/mark-to-market/indian-hotels-books-steady-stay-in-q1-but-high-growth-may-be-tough-to-sustain-11752825817721.html,2025-07-20 17:58,LiveMint,Markets,0.23441153846153848,0.211,0.108,0.681,0.07692307692307693,Bullish
Tech Mahindra’s Q1 positives overshadowed by macro blues,https://www.livemint.com/market/mark-to-market/tech-mahindra-q1-results-analysis-11752739875083.html,2025-07-20 17:58,LiveMint,Markets,0.32585,0.327,0.0,0.673,0.125,Bullish
AWL Agri's food ambitions are growing. It must fix the oil business first.,https://www.livemint.com/market/mark-to-market/awl-agri-business-stock-analysis-awl-agri-business-share-price-awl-agri-business-q1fy26-adani-wilmar-results-fmcg-11752733604486.html,2025-07-20 17:58,LiveMint,Markets,0.08895,0.124,0.0,0.876,0.0,Neutral
ICICI Lombard’s strong profit growth insures subdued premium performance,https://www.livemint.com/market/mark-to-market/icici-lombard-profit-q1fy26-insurance-premium-growth-accounting-change-11752647834498.html,2025-07-20 17:58,LiveMint,Markets,0.5824666666666667,0.595,0.0,0.405,0.3333333333333333,Bullish
IREDA grapples with rising NPAs despite strong operating performance,https://www.livemint.com/market/mark-to-market/ireda-rising-npas-strong-operating-performance-gensol-nbfcs-insolvency-11752641191370.html,2025-07-20 17:58,LiveMint,Markets,-0.14559444444444444,0.0,0.252,0.748,0.1111111111111111,Bearish
Shrinking margin leaves HCLTech stock with no room for error,https://www.livemint.com/market/mark-to-market/hcl-tech-stock-analysis-hcl-tech-share-prices-hcl-tech-q1fy26-hcl-tech-margin-contraction-hcl-tech-ebit-guidance-11752570725528.html,2025-07-20 17:58,LiveMint,Markets,-0.2997,0.0,0.38,0.62,0.0,Bearish
"Ola Electric’s profit push has been ignited. Now, volumes have to follow",https://www.livemint.com/market/mark-to-market/ola-electric-q1-earnings-ola-electric-share-price-ola-electric-profitability-11752568853475.html,2025-07-20 17:58,LiveMint,Markets,0.2618666666666667,0.209,0.0,0.791,0.08333333333333333,Bullish
Indus Towers sets board meeting date to consider Q1 results. Details here,https://www.livemint.com/market/stock-market-news/indus-towers-sets-board-meeting-date-to-consider-q1-results-details-here-11753002882424.html,2025-07-20 17:58,LiveMint,Markets,0.0,0.0,0.0,1.0,0.0,Neutral
Reliance Industries stock: Is it right time to buy after Q1 results 2025?,https://www.livemint.com/market/stock-market-news/reliance-industries-stock-is-it-right-time-to-buy-after-q1-results-2025-11753002500198.html,2025-07-20 17:58,LiveMint,Markets,0.038461538461538464,0.0,0.0,1.0,0.07692307692307693,Neutral
Multibagger small-cap stock fixes record date for  ₹35 per share final dividend,https://www.livemint.com/market/stock-market-news/multibagger-small-cap-stock-lumax-industries-fixes-record-date-for-35-per-share-final-dividend-details-here-11752998577722.html,2025-07-20 17:58,LiveMint,Markets,0.148,0.167,0.0,0.833,0.0,Bullish
Should stock market investors invest in InvITs? LGT Wealth's Vislavath answers,https://www.livemint.com/market/stock-market-news/should-stock-market-investors-invest-in-invits-lgt-wealths-vislavath-answers-11753000482641.html,2025-07-20 17:58,LiveMint,Markets,0.0,0.0,0.0,1.0,0.0,Neutral
"Indias forex reserves dip $3.06 bn to $696.67 bn, second straight weekly decline",https://www.livemint.com/market/stock-market-news/indias-forex-reserves-dip-3-06-bn-to-696-67-bn-second-straight-weekly-decline-11752993791161.html,2025-07-20 17:58,LiveMint,Markets,0.07468846153846154,0.137,0.0,0.863,-0.07692307692307693,Neutral
"Q1 moves: Retail bets big on property, cement as ‘smart money’ retreats",https://www.livemint.com/market/stock-market-news/indian-stock-market-q1-fy26-retail-investors-india-fpi-selling-india-mutual-fund-selling-india-small-cap-stocks-11752988568941.html,2025-07-20 17:58,LiveMint,Markets,0.0,0.0,0.0,1.0,0.0,Neutral
